nose_radius_ratio,sidepod_taper,wing_attack_deg,drag_obj,stability_obj,manufacturing_obj,score
0.07,0.5,4,0.2398611111111111,0.162,0.1,0.1994166666666667
0.07,0.5,6,0.24375,0.182,0.12333333333333334,0.21024999999999996
0.07,0.7,-2,0.23392777777777776,0.15000000000000002,0.1,0.19285666666666668
0.07,0.7,0,0.23315,0.13,0.1,0.18739
0.07,0.7,2,0.23392777777777776,0.134,0.1,0.18885666666666667
0.07,0.7,4,0.23626111111111112,0.15400000000000003,0.1,0.1952566666666667
0.07,0.7,6,0.24015,0.17400000000000002,0.12333333333333334,0.20609
0.07,0.9,-2,0.23032777777777777,0.14200000000000002,0.1,0.18869666666666668
0.07,0.9,0,0.22955,0.122,0.1,0.18323
0.07,0.9,2,0.23032777777777777,0.126,0.1,0.18469666666666668
0.07,0.9,4,0.23266111111111112,0.14600000000000002,0.1,0.1910966666666667
0.07,0.9,6,0.23655,0.166,0.12333333333333334,0.20193
0.09,0.1,-2,0.24400777777777777,0.17400000000000002,0.1,0.20490466666666668
0.09,0.1,0,0.24323,0.154,0.1,0.199438
0.09,0.1,2,0.24400777777777777,0.158,0.1,0.20090466666666668
0.09,0.1,4,0.24634111111111112,0.17800000000000002,0.1,0.2073046666666667
0.09,0.1,6,0.25022999999999995,0.198,0.12333333333333334,0.21813799999999997
0.09,0.3,-2,0.24040777777777778,0.166,0.1,0.20074466666666668
0.09,0.3,0,0.23963,0.146,0.1,0.195278
0.09,0.3,2,0.24040777777777778,0.15,0.1,0.19674466666666668
0.09,0.3,4,0.24274111111111113,0.17,0.1,0.2031446666666667
0.09,0.3,6,0.24663000000000002,0.19,0.12333333333333334,0.21397799999999997
0.09,0.5,-2,0.23680777777777776,0.158,0.1,0.19658466666666663
0.09,0.5,0,0.23603,0.13799999999999998,0.1,0.191118
0.09,0.5,2,0.23680777777777776,0.142,0.1,0.19258466666666663
0.09,0.5,4,0.2391411111111111,0.162,0.1,0.19898466666666664
0.09,0.5,6,0.24303,0.182,0.12333333333333334,0.20981799999999998
0.09,0.7,-2,0.23320777777777776,0.15000000000000002,0.1,0.19242466666666663
0.09,0.7,0,0.23243,0.13,0.1,0.186958
0.09,0.7,2,0.23320777777777776,0.134,0.1,0.18842466666666663
0.09,0.7,4,0.23554111111111112,0.15400000000000003,0.1,0.19482466666666665
0.09,0.7,6,0.23943,0.17400000000000002,0.12333333333333334,0.205658
0.09,0.9,-2,0.22960777777777777,0.14200000000000002,0.1,0.18826466666666664
0.09,0.9,0,0.22883,0.122,0.1,0.18279800000000002
0.09,0.9,2,0.22960777777777777,0.126,0.1,0.18426466666666663
0.09,0.9,4,0.23194111111111113,0.14600000000000002,0.1,0.19066466666666665
0.09,0.9,6,0.23583,0.166,0.12333333333333334,0.201498
0.11,0.1,-2,0.24424777777777776,0.17400000000000002,0.1,0.20504866666666666
0.11,0.1,0,0.24347,0.154,0.1,0.19958199999999998
0.11,0.1,2,0.24424777777777776,0.158,0.1,0.20104866666666665
0.11,0.1,4,0.2465811111111111,0.17800000000000002,0.1,0.20744866666666667
0.11,0.1,6,0.25046999999999997,0.198,0.12333333333333334,0.21828199999999995
0.11,0.3,-2,0.24064777777777777,0.166,0.1,0.20088866666666666
0.11,0.3,0,0.23987,0.146,0.1,0.19542199999999998
0.11,0.3,2,0.24064777777777777,0.15,0.1,0.19688866666666666
0.11,0.3,4,0.24298111111111112,0.17,0.1,0.20328866666666667
0.11,0.3,6,0.24687,0.19,0.12333333333333334,0.214122
0.11,0.5,-2,0.23704777777777775,0.158,0.1,0.19672866666666666
0.11,0.5,0,0.23626999999999998,0.13799999999999998,0.1,0.191262
0.11,0.5,2,0.23704777777777775,0.142,0.1,0.19272866666666666
0.11,0.5,4,0.2393811111111111,0.162,0.1,0.19912866666666668
0.11,0.5,6,0.24327,0.182,0.12333333333333334,0.20996199999999995
0.11,0.7,-2,0.23344777777777775,0.15000000000000002,0.1,0.19256866666666667
0.11,0.7,0,0.23267,0.13,0.1,0.187102
0.11,0.7,2,0.23344777777777775,0.134,0.1,0.18856866666666666
0.11,0.7,4,0.2357811111111111,0.15400000000000003,0.1,0.19496866666666668
0.11,0.7,6,0.23967,0.17400000000000002,0.12333333333333334,0.20580199999999998
0.11,0.9,-2,0.22984777777777776,0.14200000000000002,0.1,0.18840866666666667
0.11,0.9,0,0.22907,0.122,0.1,0.182942
0.11,0.9,2,0.22984777777777776,0.126,0.1,0.18440866666666667
0.11,0.9,4,0.23218111111111112,0.14600000000000002,0.1,0.19080866666666668
0.11,0.9,6,0.23607,0.166,0.12333333333333334,0.201642
0.13,0.1,-2,0.24544777777777776,0.17400000000000002,0.1,0.20576866666666666
0.13,0.1,0,0.24467,0.154,0.1,0.20030199999999998
0.13,0.1,2,0.24544777777777776,0.158,0.1,0.20176866666666665
0.13,0.1,4,0.24778111111111112,0.17800000000000002,0.1,0.20816866666666667
0.13,0.1,6,0.25167,0.198,0.12333333333333334,0.219002
0.13,0.3,-2,0.24184777777777777,0.166,0.1,0.20160866666666666
0.13,0.3,0,0.24107,0.146,0.1,0.19614199999999998
0.13,0.3,2,0.24184777777777777,0.15,0.1,0.19760866666666665
0.13,0.3,4,0.24418111111111113,0.17,0.1,0.20400866666666667
0.13,0.3,6,0.24807,0.19,0.12333333333333334,0.214842
0.13,0.5,-2,0.23824777777777775,0.158,0.1,0.19744866666666666
0.13,0.5,0,0.23747,0.13799999999999998,0.1,0.19198199999999999
0.13,0.5,2,0.23824777777777775,0.142,0.1,0.19344866666666666
0.13,0.5,4,0.2405811111111111,0.162,0.1,0.19984866666666667
0.13,0.5,6,0.24447,0.182,0.12333333333333334,0.21068199999999995
0.13,0.7,-2,0.23464777777777776,0.15000000000000002,0.1,0.19328866666666666
0.13,0.7,0,0.23387,0.13,0.1,0.187822
0.13,0.7,2,0.23464777777777776,0.134,0.1,0.18928866666666666
