longitud_mm,anchura_mm,radio_morro,conicidad,angulo_aleron,altura_mm,cd,area_m2,cda_m2,estabilidad,fabricabilidad,score
205,55,0.2,0.5,0,25,0.2504,0.001375,0.000344,0.548,0.7,0.36467
225,55,0.25,0.4,0,25,0.256,0.001375,0.000352,0.566,0.7,0.3647
245,55,0.3,0.3,0,25,0.2616,0.001375,0.00036,0.584,0.7,0.36473
265,55,0.4,0.7,1,25,0.2581,0.001375,0.000355,0.632,0.6,0.36483
265,55,0.4,0.9,1,25,0.2461,0.001375,0.000338,0.64,0.52,0.36493
225,55,0.35,0.7,1,25,0.263,0.001375,0.000362,0.588,0.7,0.36497
245,55,0.4,0.6,1,25,0.2686,0.001375,0.000369,0.606,0.7,0.365
245,55,0.15,0.7,1,25,0.2426,0.001375,0.000334,0.61,0.55,0.36505
225,55,0.35,0.9,1,25,0.251,0.001375,0.000345,0.596,0.62,0.36507
245,55,0.4,0.8,1,25,0.2566,0.001375,0.000353,0.614,0.62,0.3651
245,55,0.15,0.9,1,25,0.2306,0.001375,0.000317,0.618,0.47,0.36515
265,55,0.4,0.5,0,25,0.2531,0.001375,0.000348,0.614,0.6,0.36521
265,55,0.15,0.6,0,25,0.2271,0.001375,0.000312,0.618,0.45,0.36526
205,55,0.3,0.6,0,25,0.2524,0.001375,0.000347,0.552,0.7,0.36532
225,55,0.35,0.5,0,25,0.258,0.001375,0.000355,0.57,0.7,0.36535
265,55,0.15,0.8,0,25,0.2151,0.001375,0.000296,0.626,0.37,0.36536
245,55,0.4,0.4,0,25,0.2636,0.001375,0.000362,0.588,0.7,0.36538
205,55,0.3,0.8,0,25,0.2404,0.001375,0.000331,0.56,0.62,0.36542
245,55,0.15,0.5,0,25,0.2376,0.001375,0.000327,0.592,0.55,0.36543
265,65,0.2,0.9,0,25,0.2131,0.001625,0.000346,0.657,0.52,0.36551
245,55,0.5,0.7,1,25,0.2706,0.001375,0.000372,0.61,0.7,0.36565
245,55,0.5,0.9,1,25,0.2586,0.001375,0.000356,0.618,0.62,0.36575
265,55,0.5,0.6,0,25,0.2551,0.001375,0.000351,0.618,0.6,0.36586
265,55,0.2,0.6,-1,25,0.2481,0.001375,0.000341,0.595,0.6,0.36591
265,55,0.5,0.8,0,25,0.2431,0.001375,0.000334,0.626,0.52,0.36596
205,55,0.4,0.7,0,25,0.2544,0.001375,0.00035,0.556,0.7,0.36597
245,65,0.25,0.7,0,25,0.2336,0.001625,0.00038,0.627,0.7,0.36599
225,55,0.45,0.6,0,25,0.26,0.001375,0.000358,0.574,0.7,0.366
265,55,0.2,0.8,-1,25,0.2361,0.001375,0.000325,0.603,0.52,0.36601
245,55,0.5,0.5,0,25,0.2656,0.001375,0.000365,0.592,0.7,0.36603
205,55,0.4,0.9,0,25,0.2424,0.001375,0.000333,0.564,0.62,0.36607
245,55,0.2,0.5,-1,25,0.2586,0.001375,0.000356,0.569,0.7,0.36609
225,55,0.45,0.8,0,25,0.248,0.001375,0.000341,0.582,0.62,0.3661
265,55,0.2,0.7,2,25,0.2631,0.001375,0.000362,0.642,0.6,0.36646
265,55,0.2,0.9,2,25,0.2511,0.001375,0.000345,0.65,0.52,0.36656
265,55,0.3,0.7,-1,25,0.2501,0.001375,0.000344,0.599,0.6,0.36656
245,55,0.2,0.6,2,25,0.2736,0.001375,0.000376,0.616,0.7,0.36663
265,55,0.3,0.9,-1,25,0.2381,0.001375,0.000327,0.607,0.52,0.36666
225,55,0.25,0.7,-1,25,0.255,0.001375,0.000351,0.555,0.7,0.36671
245,55,0.2,0.8,2,25,0.2616,0.001375,0.00036,0.624,0.62,0.36673
245,55,0.3,0.6,-1,25,0.2606,0.001375,0.000358,0.573,0.7,0.36674
225,55,0.25,0.9,-1,25,0.243,0.001375,0.000334,0.563,0.62,0.36681
265,55,0.25,0.5,1,25,0.2581,0.001375,0.000355,0.624,0.6,0.36683
245,55,0.3,0.8,-1,25,0.2486,0.001375,0.000342,0.581,0.62,0.36684
225,55,0.2,0.5,1,25,0.263,0.001375,0.000362,0.58,0.7,0.36697
245,55,0.25,0.4,1,25,0.2686,0.001375,0.000369,0.598,0.7,0.367
265,55,0.25,0.3,0,25,0.2531,0.001375,0.000348,0.606,0.6,0.36721
265,65,0.2,0.7,0,25,0.2251,0.001625,0.000366,0.649,0.6,0.36721
245,65,0.2,0.8,0,25,0.2236,0.001625,0.000363,0.631,0.62,0.36724
245,55,0.3,0.7,2,25,0.2756,0.001375,0.000379,0.62,0.7,0.36728
225,55,0.2,0.3,0,25,0.258,0.001375,0.000355,0.562,0.7,0.36735
245,55,0.3,0.9,2,25,0.2636,0.001375,0.000362,0.628,0.62,0.36738
245,55,0.4,0.7,-1,25,0.2626,0.001375,0.000361,0.577,0.7,0.36739
265,55,0.35,0.6,1,25,0.2601,0.001375,0.000358,0.628,0.6,0.36748
245,55,0.4,0.9,-1,25,0.2506,0.001375,0.000345,0.585,0.62,0.36749
265,55,0.35,0.8,1,25,0.2481,0.001375,0.000341,0.636,0.52,0.36758
205,55,0.25,0.7,1,25,0.2594,0.001375,0.000357,0.566,0.7,0.3676
225,55,0.3,0.6,1,25,0.265,0.001375,0.000364,0.584,0.7,0.36762
245,55,0.35,0.5,1,25,0.2706,0.001375,0.000372,0.602,0.7,0.36765
205,55,0.25,0.9,1,25,0.2474,0.001375,0.00034,0.574,0.62,0.3677
225,55,0.3,0.8,1,25,0.253,0.001375,0.000348,0.592,0.62,0.36772
265,55,0.35,0.4,0,25,0.2551,0.001375,0.000351,0.61,0.6,0.36786
205,55,0.25,0.5,0,25,0.2544,0.001375,0.00035,0.548,0.7,0.36797
225,55,0.3,0.4,0,25,0.26,0.001375,0.000357,0.566,0.7,0.368
245,55,0.35,0.3,0,25,0.2656,0.001375,0.000365,0.584,0.7,0.36803
265,55,0.45,0.7,1,25,0.2621,0.001375,0.00036,0.632,0.6,0.36813
245,65,0.3,0.9,0,25,0.2256,0.001625,0.000367,0.635,0.62,0.36819
265,55,0.45,0.9,1,25,0.2501,0.001375,0.000344,0.64,0.52,0.36823
225,55,0.4,0.7,1,25,0.267,0.001375,0.000367,0.588,0.7,0.36827
245,55,0.45,0.6,1,25,0.2726,0.001375,0.000375,0.606,0.7,0.3683
225,55,0.4,0.9,1,25,0.255,0.001375,0.000351,0.596,0.62,0.36837
245,55,0.45,0.8,1,25,0.2606,0.001375,0.000358,0.614,0.62,0.3684
265,55,0.45,0.5,0,25,0.2571,0.001375,0.000354,0.614,0.6,0.36851
205,55,0.35,0.6,0,25,0.2564,0.001375,0.000353,0.552,0.7,0.36862
225,55,0.4,0.5,0,25,0.262,0.001375,0.00036,0.57,0.7,0.36865
245,55,0.45,0.4,0,25,0.2676,0.001375,0.000368,0.588,0.7,0.36868
225,55,0.15,0.6,0,25,0.236,0.001375,0.000324,0.574,0.55,0.3687
205,55,0.35,0.8,0,25,0.2444,0.001375,0.000336,0.56,0.62,0.36872
225,55,0.15,0.8,0,25,0.224,0.001375,0.000308,0.582,0.47,0.3688
245,65,0.2,0.6,0,25,0.2356,0.001625,0.000383,0.623,0.7,0.36894
265,55,0.25,0.6,-1,25,0.2521,0.001375,0.000347,0.595,0.6,0.36921
205,55,0.45,0.7,0,25,0.2584,0.001375,0.000355,0.556,0.7,0.36927
225,55,0.5,0.6,0,25,0.264,0.001375,0.000363,0.574,0.7,0.3693
265,55,0.25,0.8,-1,25,0.2401,0.001375,0.00033,0.603,0.52,0.36931
225,55,0.2,0.6,-1,25,0.257,0.001375,0.000353,0.551,0.7,0.36936
205,55,0.45,0.9,0,25,0.2464,0.001375,0.000339,0.564,0.62,0.36937
245,55,0.25,0.5,-1,25,0.2626,0.001375,0.000361,0.569,0.7,0.36939
225,55,0.5,0.8,0,25,0.252,0.001375,0.000346,0.582,0.62,0.3694
265,65,0.25,0.9,0,25,0.2171,0.001625,0.000353,0.657,0.52,0.36941
225,55,0.2,0.8,-1,25,0.245,0.001375,0.000337,0.559,0.62,0.36946
265,55,0.2,0.4,1,25,0.2601,0.001375,0.000358,0.62,0.6,0.36948
245,55,0.2,0.3,1,25,0.2706,0.001375,0.000372,0.594,0.7,0.36965
265,55,0.25,0.7,2,25,0.2671,0.001375,0.000367,0.642,0.6,0.36976
265,55,0.25,0.9,2,25,0.2551,0.001375,0.000351,0.65,0.52,0.36986
