simulacion,tiempo_s,velocidad_max_mps,velocidad_max_kmh,masa_kg,cda_m2,crr,empuje_n,exito
3651,1.176,19.6,70.6,0.05146,0.003104,0.01815,10.61,1
3664,1.082,21.23,76.4,0.0516,0.003012,0.01901,9.89,1
3677,1.0825,21.44,77.2,0.05168,0.003213,0.01926,10.14,1
3690,1.0845,21.19,76.3,0.05103,0.003248,0.01818,10.72,1
3703,1.116,20.67,74.4,0.05282,0.003316,0.01977,10.03,1
3716,1.1825,19.67,70.8,0.05109,0.003348,0.01576,8.74,1
3729,1.1705,19.33,69.6,0.05226,0.003034,0.02131,11.69,1
3742,1.0425,21.96,79.0,0.0506,0.003026,0.01981,10.62,1
3755,1.0675,21.71,78.2,0.05107,0.003317,0.02106,9.45,1
3768,1.1575,19.96,71.9,0.05128,0.002995,0.01496,8.54,1
3781,0.955,24.1,86.8,0.05168,0.003311,0.0188,11.54,1
3794,1.164,20.29,73.1,0.05316,0.003415,0.01927,10.16,1
3807,1.1045,20.74,74.7,0.05375,0.002949,0.02043,10.47,1
3820,1.0055,23.05,83.0,0.05223,0.00321,0.02139,10.24,1
3833,1.043,22.02,79.3,0.0522,0.002843,0.01591,10.42,1
3846,1.147,20.16,72.6,0.0517,0.003008,0.02367,8.95,1
3859,1.012,23.06,83.0,0.05175,0.003287,0.0181,9.19,1
3872,1.042,21.92,78.9,0.05349,0.002937,0.02311,10.95,1
3885,1.1225,20.76,74.7,0.05252,0.003413,0.02005,10.38,1
3898,1.0025,23.01,82.8,0.04961,0.003124,0.01508,9.77,1
3911,1.101,20.91,75.3,0.05249,0.003361,0.01798,10.13,1
3924,1.1195,20.7,74.5,0.05212,0.003341,0.02331,9.32,1
3937,0.953,24.18,87.1,0.05044,0.003102,0.02491,10.72,1
3950,1.1355,20.24,72.9,0.05192,0.003495,0.02024,10.76,1
3963,1.083,21.37,76.9,0.05076,0.003205,0.01896,9.22,1
3976,0.991,23.05,83.0,0.05176,0.00297,0.02332,11.27,1
3989,1.0835,21.59,77.7,0.05169,0.003286,0.01554,10.24,1
4002,1.0845,21.48,77.3,0.05335,0.00299,0.024,8.77,1
4015,1.07,21.47,77.3,0.05107,0.003033,0.02187,10.06,1
4028,1.2105,18.92,68.1,0.05174,0.002918,0.01682,10.86,1
4041,1.021,22.5,81.0,0.05124,0.002943,0.02503,12.28,1
4054,1.2015,19.16,69.0,0.05251,0.003128,0.01928,9.11,1
4067,0.9665,23.92,86.1,0.05338,0.002763,0.01543,10.38,1
4080,1.109,21.0,75.6,0.05262,0.002992,0.01328,8.93,1
4093,1.1385,20.21,72.8,0.05296,0.003122,0.02174,9.56,1
4106,1.0765,21.74,78.3,0.05101,0.003527,0.01457,10.59,1
4119,1.094,21.03,75.7,0.05272,0.003333,0.01726,10.19,1
4132,1.0445,22.25,80.1,0.05177,0.003366,0.01865,9.83,1
4145,1.1275,20.27,73.0,0.05235,0.003187,0.02039,11.41,1
4158,1.128,20.48,73.7,0.05308,0.003423,0.02008,9.53,1
4171,1.225,18.74,67.5,0.05286,0.002836,0.02169,9.49,1
4184,1.0245,22.41,80.7,0.05173,0.003126,0.01682,10.48,1
4197,1.377,16.84,60.6,0.05169,0.003564,0.01811,9.23,1
4210,1.064,21.59,77.7,0.05241,0.003395,0.01771,10.6,1
4223,0.981,23.71,85.4,0.05083,0.003027,0.01726,10.42,1
4236,1.3125,17.73,63.8,0.05125,0.002995,0.02819,10.34,1
4249,1.126,20.59,74.1,0.0524,0.003404,0.02142,9.29,1
4262,1.145,20.52,73.9,0.0525,0.003253,0.02176,10.04,1
4275,1.1575,20.09,72.3,0.05262,0.003732,0.01998,10.62,1
4288,1.0685,21.59,77.7,0.05262,0.003502,0.02008,10.44,1
4301,0.9475,24.07,86.7,0.05188,0.003132,0.01784,11.99,1
4314,1.011,23.19,83.5,0.05378,0.003467,0.01865,10.12,1
4327,1.2115,19.2,69.1,0.05326,0.003215,0.01436,7.97,1
4340,1.1635,19.83,71.4,0.05066,0.003324,0.02002,9.96,1
4353,1.3045,17.73,63.8,0.05204,0.003402,0.01945,9.36,1
4366,1.1875,19.2,69.1,0.05276,0.003088,0.02118,10.49,1
4379,0.9315,24.94,89.8,0.05095,0.003107,0.01876,10.37,1
4392,1.397,16.71,60.2,0.05219,0.003374,0.02203,8.92,1
4405,1.1595,20.03,72.1,0.05327,0.003227,0.01609,9.09,1
4418,1.259,18.19,65.5,0.05187,0.00312,0.01745,10.03,1
4431,0.9575,24.38,87.8,0.05213,0.003428,0.01763,11.12,1
4444,1.0625,21.84,78.6,0.04994,0.00313,0.02118,9.55,1
4457,1.0325,22.34,80.4,0.0524,0.003299,0.0206,10.48,1
4470,1.013,23.39,84.2,0.05191,0.003628,0.01833,7.96,1
4483,0.9625,23.85,85.9,0.0519,0.003156,0.02197,11.4,1
