wheelbase_mm,front_track_mm,rear_track_mm,guide_clearance_mm,axle_parallelism_mm,centerline_offset_mm,body_mass_g,wheel_radius_mm,track_delta_mm,wheel_diameter_mismatch_mm,pass,violations
190.1440203225191,31.588975882802263,31.94318059856435,0.6029867550687541,0.09573311048144469,-0.015456931741725227,50.41349470235862,13.432509921851759,0.3542047157620871,0.13498015629648208,1.0,0.0
189.80743236263996,31.51129394960133,31.76113376599546,0.6124756464086919,0.09824912095044093,0.08494204176115362,51.40280412078188,13.468514135422748,0.2498398163941289,0.06297172915450489,1.0,0.0
190.01452045500773,31.472726483140274,31.820286629701954,0.43903723143933177,0.11476438057798312,0.1578876736110143,51.69697983069839,13.612750873913969,0.3475601465616798,0.22550174782793775,1.0,0.0
189.55904127391108,31.675820383262256,31.729243613361707,0.24174463297899096,0.0823451158356129,-0.0390158717680576,52.145710094210465,13.496402137100691,0.05342323009945105,0.0071957257986170475,1.0,0.0
189.9177665572274,31.42071521380166,31.927368434105173,0.42721164192325994,-0.02501962449862377,0.11983742356329047,51.170272927674695,13.418619247983127,0.5066532203035123,0.162761504033746,1.0,0.0
189.8203315357156,31.386759359580935,31.916939583380074,0.4428767378369183,-0.007092706727076463,0.06948134322981366,50.826372321958225,13.546531325740222,0.5301802237991389,0.09306265148044446,1.0,0.0
189.96717154507004,31.633898462242065,31.93393066386932,0.34789665485890414,0.14533505973086835,0.07563716690081795,50.612437006051344,13.489184878399229,0.3000322016272534,0.0216302432015425,1.0,0.0
189.96901171087003,31.772541193299606,31.73039737733741,0.403055384316909,0.07905909484775032,-0.02185355949607602,50.47104218411143,13.563062871065926,0.042143815962194964,0.12612574213185113,1.0,0.0
189.88099451896508,31.355430730972696,31.726600605675802,0.4484882159902648,0.10309865641030935,0.14744733466620272,52.36586884868814,13.532402138064878,0.3711698747031065,0.06480427612975603,1.0,0.0
189.67168360482975,31.522598748121368,31.94665583046545,0.35595855369206053,0.09281453396699445,0.07649692202771871,51.64986045763361,13.567488375855701,0.42405708234408124,0.13497675171140244,1.0,0.0
189.79415229388948,31.310682949766566,31.764367193447125,0.33284949786408086,0.015036523887222743,0.01717674564364484,51.27480925018624,13.36252568123978,0.45368424368055926,0.2749486375204384,0.0,1.0
189.96665175991313,31.56657471516279,31.860710800541558,0.4729214114998501,0.06619931871973012,0.015003104938050368,51.469282217376,13.507932123866645,0.2941360853787671,0.015864247733290426,1.0,0.0
190.05994266600135,31.577788217875668,31.70234704592337,0.5486519110720144,0.02985224445089578,0.13266408632737123,50.88503313509378,13.4746549955683,0.12455882804770368,0.05069000886339836,1.0,0.0
190.03909683504006,31.55401286866463,31.710297793561708,0.5515739487462591,0.09772864531449157,0.10826811704674888,51.79003064595894,13.463205985729967,0.15628492489707924,0.07358802854006541,1.0,0.0
190.0632784741126,31.610652106580662,31.591463633294868,0.4992855814424382,0.07285870721055111,0.0010394947866343269,51.49485916082767,13.450765110730588,0.019188473285794316,0.09846977853882422,1.0,0.0
189.91983416937467,31.422619936814982,31.85098624440023,0.5469325152397653,0.005391433162754918,0.15083921189861685,51.31042886246811,13.438864387176379,0.42836630758524663,0.12227122564724269,1.0,0.0
190.2511412862181,31.445052962332795,31.90207802312826,0.5014974957255952,0.13370103846493242,0.15220654856033897,50.81754888674653,13.516813911927319,0.45702506079546623,0.03362782385463703,1.0,0.0
189.88719882706158,31.52174134754348,31.761613678700623,0.5134570304342495,0.01160105778061607,0.07855922825003105,51.99591593109905,13.37614522723065,0.23987233115714446,0.24770954553870084,0.0,1.0
190.07112960229165,31.51122272157174,31.9273215297309,0.31693738889326484,0.09402838612599672,0.06837296773776853,52.37262237877976,13.522720179451857,0.416098808159159,0.045440358903714895,1.0,0.0
190.13109181494548,31.483081591776415,31.663195796436163,0.4562721327384199,0.12790411452509579,0.042364630286414455,51.38510125912075,13.56471593203514,0.18011420465974837,0.1294318640702805,1.0,0.0
190.13544971203416,31.54697334411548,31.8892046667485,0.49921321422517073,0.08715591488084441,0.11828491156694489,50.69026432234145,13.561948583436463,0.3422313226330225,0.12389716687292562,1.0,0.0
189.9082748556537,31.485059708385624,31.7674535623366,0.4972216692820331,0.08161931280458726,0.1354701201663989,50.49675921711046,13.52645830394768,0.2823938539509747,0.05291660789535868,1.0,0.0
190.12853893615215,31.50200817073772,31.77739697479896,0.3425066324193021,0.05538806972078655,0.11300323661519923,51.28502388388831,13.455434325171504,0.2753888040612402,0.08913134965699143,1.0,0.0
189.74335119999301,31.514876303186814,31.763344165379504,0.4194495128494614,0.1306628221704308,0.08448977599735055,50.34041952013077,13.526499817863382,0.24846786219269035,0.05299963572676347,1.0,0.0
