seed,finish_time_s,success,mass_kg,cda_m2,crr,thrust_f0_n,launch_loss_ratio,yaw_deg
2604,0.637000,1,0.054702,0.00145915,0.017117,18.1467,0.04508,-0.86515
2621,0.578900,1,0.050403,0.00154836,0.021400,18.4531,0.04064,0.64764
2638,0.607600,1,0.050768,0.00144306,0.016252,17.2370,0.06374,-0.26384
2655,0.583100,1,0.052610,0.00150213,0.018719,19.1627,0.04304,0.69411
2672,0.604800,1,0.053048,0.00143182,0.017050,16.8392,0.03563,-0.65354
2689,0.635600,1,0.052482,0.00145948,0.019046,16.7200,0.05051,1.38136
2706,0.583800,1,0.051546,0.00140036,0.024620,18.0052,0.05730,0.34585
2723,0.632100,1,0.052295,0.00141543,0.017342,16.7592,0.04626,0.35615
2740,0.629300,1,0.051246,0.00137621,0.017080,18.1635,0.07536,0.91475
2757,0.565600,1,0.051451,0.00151158,0.016255,20.9280,0.04644,0.76171
2774,0.571200,1,0.050972,0.00140099,0.021613,19.0902,0.05127,-0.21178
2791,0.577500,1,0.051376,0.00125723,0.014103,20.2557,0.05163,0.77429
2808,0.582400,1,0.052244,0.00148002,0.017866,16.7351,0.04294,-0.52535
2825,0.619500,1,0.052411,0.00152691,0.022743,16.1577,0.05270,-0.49398
2842,0.655900,1,0.052908,0.00145070,0.015777,17.8550,0.06058,-0.08142
2859,0.609700,1,0.050916,0.00145873,0.014706,16.3437,0.07121,0.78954
2876,0.629300,1,0.050447,0.00141532,0.022982,16.9060,0.07210,1.12810
2893,0.599200,1,0.053335,0.00135714,0.016620,17.1448,0.03634,-0.71393
2910,0.577500,1,0.054388,0.00147294,0.017938,19.9188,0.06873,-0.02726
2927,0.588000,1,0.050218,0.00135776,0.018768,18.2706,0.03773,-1.31348
2944,0.637700,1,0.053954,0.00144867,0.022386,18.6298,0.06288,-0.69169
2961,0.592900,1,0.051614,0.00152267,0.017454,18.0126,0.05076,-0.52588
2978,0.581000,1,0.051480,0.00142933,0.012286,18.5797,0.04848,-0.28937
2995,0.583100,1,0.051692,0.00148696,0.015184,19.3286,0.05795,0.13010
3012,0.598500,1,0.051816,0.00160403,0.019852,19.7714,0.08519,0.15650
3029,0.609000,1,0.050181,0.00144329,0.017488,17.9094,0.06670,-0.57620
3046,0.616700,1,0.054185,0.00147263,0.015368,17.9788,0.04194,0.31763
3063,0.639800,1,0.051706,0.00160721,0.018729,17.2901,0.06975,0.52650
3080,0.567000,1,0.051527,0.00145208,0.011486,19.2488,0.05845,0.66917
3097,0.625800,1,0.051188,0.00125049,0.014874,16.6478,0.01738,-1.68925
3114,0.679700,1,0.052090,0.00156030,0.018979,17.0796,0.07023,0.09493
3131,0.590100,1,0.049910,0.00130404,0.017157,17.0582,0.06567,0.13423
3148,0.582400,1,0.052599,0.00142301,0.016769,19.0931,0.05638,-0.10488
3165,0.606900,1,0.051678,0.00146115,0.020387,18.5393,0.05732,-2.45162
3182,0.638400,1,0.052278,0.00140191,0.024093,16.8628,0.07481,0.67047
3199,0.584500,1,0.052118,0.00153896,0.011346,18.7983,0.08386,-1.52773
3216,0.625800,1,0.053253,0.00139447,0.013753,17.2808,0.04933,-0.55551
3233,0.559300,1,0.052509,0.00143156,0.018445,19.3962,0.04581,1.06244
3250,0.650300,1,0.050237,0.00130990,0.021643,16.1446,0.06531,1.16491
3267,0.639800,1,0.051787,0.00138791,0.020307,17.3294,0.07995,-1.64225
3284,0.634900,1,0.053700,0.00146653,0.020145,17.8476,0.07552,-0.40296
